accession	reference	antibiotic	mic	mic_numeric
SRR6765679	Peng2019	ceftriaxone	0.0625	0.0625
SRR6765679	Peng2019	ciprofloxacin	8	8
SRR6765679	Peng2019	spectinomycin	16	16
SRR6765678	Peng2019	ceftriaxone	0.032	0.032
SRR6765678	Peng2019	ciprofloxacin	8	8
SRR6765678	Peng2019	spectinomycin	16	16
SRR6765677	Peng2019	ceftriaxone	0.125	0.125
SRR6765677	Peng2019	ciprofloxacin	32	32
SRR6765677	Peng2019	spectinomycin	16	16
SRR6765675	Peng2019	ceftriaxone	0.25	0.25
SRR6765675	Peng2019	ciprofloxacin	2	2
SRR6765675	Peng2019	spectinomycin	16	16
SRR6765684	Peng2019	ceftriaxone	0.25	0.25
SRR6765684	Peng2019	ciprofloxacin	2	2
SRR6765684	Peng2019	spectinomycin	16	16
SRR6765683	Peng2019	ceftriaxone	0.125	0.125
SRR6765683	Peng2019	ciprofloxacin	4	4
SRR6765683	Peng2019	spectinomycin	16	16
SRR6765558	Peng2019	ceftriaxone	0.125	0.125
SRR6765558	Peng2019	ciprofloxacin	8	8
SRR6765558	Peng2019	spectinomycin	16	16
SRR6765559	Peng2019	ceftriaxone	0.25	0.25
SRR6765559	Peng2019	ciprofloxacin	16	16
SRR6765559	Peng2019	spectinomycin	16	16
SRR6765561	Peng2019	ceftriaxone	0.25	0.25
SRR6765561	Peng2019	ciprofloxacin	8	8
SRR6765561	Peng2019	spectinomycin	8	8
SRR6765564	Peng2019	ceftriaxone	0.015	0.015
SRR6765564	Peng2019	ciprofloxacin	16	16
SRR6765564	Peng2019	spectinomycin	16	16
SRR6765565	Peng2019	ceftriaxone	0.125	0.125
SRR6765565	Peng2019	ciprofloxacin	16	16
SRR6765565	Peng2019	spectinomycin	16	16
SRR6765347	Peng2019	ceftriaxone	0.03	0.03
SRR6765347	Peng2019	ciprofloxacin	4	4
SRR6765347	Peng2019	spectinomycin	32	32
SRR6765349	Peng2019	ceftriaxone	0.03	0.03
SRR6765349	Peng2019	ciprofloxacin	16	16
SRR6765349	Peng2019	spectinomycin	32	32
SRR6765348	Peng2019	ceftriaxone	0.125	0.125
SRR6765348	Peng2019	ciprofloxacin	4	4
SRR6765348	Peng2019	spectinomycin	32	32
SRR6765342	Peng2019	ceftriaxone	0.125	0.125
SRR6765342	Peng2019	ciprofloxacin	16	16
SRR6765342	Peng2019	spectinomycin	16	16
SRR6765344	Peng2019	ceftriaxone	0.125	0.125
SRR6765344	Peng2019	ciprofloxacin	>=16	16
SRR6765344	Peng2019	spectinomycin	32	32
SRR6765659	Peng2019	ceftriaxone	0.016	0.016
SRR6765659	Peng2019	ciprofloxacin	>=16	16
SRR6765659	Peng2019	spectinomycin	16	16
SRR6765660	Peng2019	ceftriaxone	0.016	0.016
SRR6765660	Peng2019	ciprofloxacin	16	16
SRR6765660	Peng2019	spectinomycin	0.016	0.016
SRR6765657	Peng2019	ceftriaxone	0.016	0.016
SRR6765657	Peng2019	ciprofloxacin	>=16	16
SRR6765657	Peng2019	spectinomycin	16	16
SRR6765658	Peng2019	ceftriaxone	0.08	0.08
SRR6765658	Peng2019	ciprofloxacin	4	4
SRR6765658	Peng2019	spectinomycin	32	32
SRR6765655	Peng2019	ceftriaxone	<=0.004	0.004
SRR6765655	Peng2019	ciprofloxacin	8	8
SRR6765655	Peng2019	spectinomycin	8	8
SRR6765656	Peng2019	ceftriaxone	0.06	0.06
SRR6765656	Peng2019	ciprofloxacin	16	16
SRR6765656	Peng2019	spectinomycin	16	16
SRR6765663	Peng2019	ceftriaxone	0.032	0.032
SRR6765663	Peng2019	ciprofloxacin	8	8
SRR6765663	Peng2019	spectinomycin	16	16
SRR6765306	Peng2019	ceftriaxone	0.008	0.008
SRR6765306	Peng2019	ciprofloxacin	32	32
SRR6765306	Peng2019	spectinomycin	16	16
SRR6765307	Peng2019	ceftriaxone	0.016	0.016
SRR6765307	Peng2019	ciprofloxacin	16	16
SRR6765307	Peng2019	spectinomycin	16	16
SRR6765305	Peng2019	ceftriaxone	0.016	0.016
SRR6765305	Peng2019	ciprofloxacin	16	16
SRR6765305	Peng2019	spectinomycin	16	16
SRR6765310	Peng2019	ceftriaxone	0.03	0.03
SRR6765310	Peng2019	ciprofloxacin	8	8
SRR6765310	Peng2019	spectinomycin	16	16
SRR6765311	Peng2019	ceftriaxone	0.004	0.004
SRR6765311	Peng2019	ciprofloxacin	8	8
SRR6765311	Peng2019	spectinomycin	8	8
SRR6765308	Peng2019	ceftriaxone	0.016	0.016
SRR6765308	Peng2019	ciprofloxacin	4	4
SRR6765308	Peng2019	spectinomycin	4	4
SRR6765309	Peng2019	ceftriaxone	0.032	0.032
SRR6765309	Peng2019	ciprofloxacin	8	8
SRR6765309	Peng2019	spectinomycin	16	16
SRR6765312	Peng2019	ceftriaxone	0.032	0.032
SRR6765312	Peng2019	ciprofloxacin	16	16
SRR6765312	Peng2019	spectinomycin	16	16
SRR6765313	Peng2019	ceftriaxone	0.0312	0.0312
SRR6765313	Peng2019	ciprofloxacin	4	4
SRR6765313	Peng2019	spectinomycin	16	16
SRR6765419	Peng2019	ceftriaxone	0.016	0.016
SRR6765419	Peng2019	ciprofloxacin	16	16
SRR6765419	Peng2019	spectinomycin	16	16
SRR6765418	Peng2019	ceftriaxone	0.016	0.016
SRR6765418	Peng2019	ciprofloxacin	8	8
SRR6765418	Peng2019	spectinomycin	16	16
SRR6765421	Peng2019	ceftriaxone	0.032	0.032
SRR6765421	Peng2019	ciprofloxacin	4	4
SRR6765421	Peng2019	spectinomycin	16	16
SRR6765420	Peng2019	ceftriaxone	0.008	0.008
SRR6765420	Peng2019	ciprofloxacin	8	8
SRR6765420	Peng2019	spectinomycin	16	16
SRR6765422	Peng2019	ceftriaxone	0.125	0.125
SRR6765422	Peng2019	ciprofloxacin	16	16
SRR6765422	Peng2019	spectinomycin	16	16
SRR6765425	Peng2019	ceftriaxone	0.125	0.125
SRR6765425	Peng2019	ciprofloxacin	16	16
SRR6765425	Peng2019	spectinomycin	16	16
SRR6765426	Peng2019	ceftriaxone	0.03	0.03
SRR6765426	Peng2019	ciprofloxacin	1	1
SRR6765426	Peng2019	spectinomycin	8	8
SRR6765484	Peng2019	ceftriaxone	0.03	0.03
SRR6765484	Peng2019	ciprofloxacin	16	16
SRR6765484	Peng2019	spectinomycin	32	32
SRR6765485	Peng2019	ceftriaxone	0.03	0.03
SRR6765485	Peng2019	ciprofloxacin	16	16
SRR6765485	Peng2019	spectinomycin	16	16
SRR6765486	Peng2019	ceftriaxone	0.032	0.032
SRR6765486	Peng2019	ciprofloxacin	16	16
SRR6765486	Peng2019	spectinomycin	16	16
SRR6765487	Peng2019	ceftriaxone	0.016	0.016
SRR6765487	Peng2019	ciprofloxacin	0.5	0.5
SRR6765487	Peng2019	spectinomycin	16	16
SRR6765488	Peng2019	ceftriaxone	0.008	0.008
SRR6765488	Peng2019	ciprofloxacin	16	16
SRR6765488	Peng2019	spectinomycin	16	16
SRR6765622	Peng2019	ceftriaxone	0.03	0.03
SRR6765622	Peng2019	ciprofloxacin	16	16
SRR6765622	Peng2019	spectinomycin	16	16
SRR6765621	Peng2019	ceftriaxone	0.03	0.03
SRR6765621	Peng2019	ciprofloxacin	8	8
SRR6765621	Peng2019	spectinomycin	16	16
SRR6765619	Peng2019	ceftriaxone	0.03	0.03
SRR6765619	Peng2019	ciprofloxacin	16	16
SRR6765619	Peng2019	spectinomycin	4	4
SRR6765618	Peng2019	ceftriaxone	0.03	0.03
SRR6765618	Peng2019	ciprofloxacin	16	16
SRR6765618	Peng2019	spectinomycin	16	16
ERR3623490	Lan2020	azithromycin	0.094	0.094
ERR3623490	Lan2020	cefixime	0.094	0.094
ERR3623490	Lan2020	ceftriaxone	0.016	0.016
ERR3623490	Lan2020	ciprofloxacin	4	4
ERR3623490	Lan2020	penicillin	>32	32
ERR3623490	Lan2020	spectinomycin	12	12
ERR3623490	Lan2020	tetracycline	24	24
ERR3623489	Lan2020	azithromycin	0.38	0.38
ERR3623489	Lan2020	cefixime	<0.016	0.016
ERR3623489	Lan2020	ceftriaxone	0.012	0.012
ERR3623489	Lan2020	ciprofloxacin	0.75	0.75
ERR3623489	Lan2020	penicillin	0.25	0.25
ERR3623489	Lan2020	spectinomycin	12	12
ERR3623489	Lan2020	tetracycline	1	1
ERR3623488	Lan2020	azithromycin	0.38	0.38
ERR3623488	Lan2020	cefixime	0.016	0.016
ERR3623488	Lan2020	ceftriaxone	0.012	0.012
ERR3623488	Lan2020	ciprofloxacin	2	2
ERR3623488	Lan2020	penicillin	0.19	0.19
ERR3623488	Lan2020	spectinomycin	12	12
ERR3623488	Lan2020	tetracycline	0.75	0.75
ERR3623487	Lan2020	azithromycin	0.38	0.38
ERR3623487	Lan2020	cefixime	0.016	0.016
ERR3623487	Lan2020	ceftriaxone	0.012	0.012
ERR3623487	Lan2020	ciprofloxacin	16	16
ERR3623487	Lan2020	penicillin	6	6
ERR3623487	Lan2020	spectinomycin	12	12
ERR3623487	Lan2020	tetracycline	2	2
ERR3623486	Lan2020	azithromycin	0.75	0.75
ERR3623486	Lan2020	cefixime	0.38	0.38
ERR3623486	Lan2020	ceftriaxone	0.125	0.125
ERR3623486	Lan2020	ciprofloxacin	24	24
ERR3623486	Lan2020	penicillin	3	3
ERR3623486	Lan2020	spectinomycin	16	16
ERR3623486	Lan2020	tetracycline	3	3
ERR3623485	Lan2020	azithromycin	0.25	0.25
ERR3623485	Lan2020	cefixime	0.094	0.094
ERR3623485	Lan2020	ceftriaxone	0.023	0.023
ERR3623485	Lan2020	ciprofloxacin	16	16
ERR3623485	Lan2020	penicillin	1	1
ERR3623485	Lan2020	spectinomycin	16	16
ERR3623485	Lan2020	tetracycline	1	1
ERR3623484	Lan2020	azithromycin	0.19	0.19
ERR3623484	Lan2020	cefixime	0.19	0.19
ERR3623484	Lan2020	ceftriaxone	0.047	0.047
ERR3623484	Lan2020	ciprofloxacin	24	24
ERR3623484	Lan2020	penicillin	1.5	1.5
ERR3623484	Lan2020	spectinomycin	12	12
ERR3623484	Lan2020	tetracycline	1.5	1.5
ERR3623482	Lan2020	azithromycin	0.25	0.25
ERR3623482	Lan2020	cefixime	0.016	0.016
ERR3623482	Lan2020	ceftriaxone	0.023	0.023
ERR3623482	Lan2020	ciprofloxacin	32	32
ERR3623482	Lan2020	penicillin	0.75	0.75
ERR3623482	Lan2020	spectinomycin	12	12
ERR3623482	Lan2020	tetracycline	128	128
ERR3623481	Lan2020	azithromycin	0.25	0.25
ERR3623481	Lan2020	cefixime	0.032	0.032
ERR3623481	Lan2020	ceftriaxone	0.047	0.047
ERR3623481	Lan2020	ciprofloxacin	2	2
ERR3623481	Lan2020	penicillin	2	2
ERR3623481	Lan2020	spectinomycin	12	12
ERR3623481	Lan2020	tetracycline	48	48
ERR3623480	Lan2020	azithromycin	0.5	0.5
ERR3623480	Lan2020	cefixime	0.047	0.047
ERR3623480	Lan2020	ceftriaxone	0.064	0.064
ERR3623480	Lan2020	ciprofloxacin	>32	32
ERR3623480	Lan2020	penicillin	0.75	0.75
ERR3623480	Lan2020	spectinomycin	8	8
ERR3623480	Lan2020	tetracycline	3	3
ERR3623479	Lan2020	azithromycin	0.75	0.75
ERR3623479	Lan2020	cefixime	0.023	0.023
ERR3623479	Lan2020	ceftriaxone	0.032	0.032
ERR3623479	Lan2020	ciprofloxacin	3	3
ERR3623479	Lan2020	penicillin	0.38	0.38
ERR3623479	Lan2020	spectinomycin	12	12
ERR3623479	Lan2020	tetracycline	96	96
ERR3623478	Lan2020	azithromycin	0.38	0.38
ERR3623478	Lan2020	cefixime	0.047	0.047
ERR3623478	Lan2020	ceftriaxone	0.064	0.064
ERR3623478	Lan2020	ciprofloxacin	>32	32
ERR3623478	Lan2020	penicillin	1	1
ERR3623478	Lan2020	spectinomycin	12	12
ERR3623478	Lan2020	tetracycline	2	2
ERR3623477	Lan2020	azithromycin	0.064	0.064
ERR3623477	Lan2020	cefixime	0.094	0.094
ERR3623477	Lan2020	ceftriaxone	0.016	0.016
ERR3623477	Lan2020	ciprofloxacin	1.5	1.5
ERR3623477	Lan2020	penicillin	0.19	0.19
ERR3623477	Lan2020	spectinomycin	12	12
ERR3623477	Lan2020	tetracycline	0.75	0.75
ERR3623476	Lan2020	azithromycin	0.064	0.064
ERR3623476	Lan2020	cefixime	0.064	0.064
ERR3623476	Lan2020	ceftriaxone	0.023	0.023
ERR3623476	Lan2020	ciprofloxacin	4	4
ERR3623476	Lan2020	penicillin	0.38	0.38
ERR3623476	Lan2020	spectinomycin	12	12
ERR3623476	Lan2020	tetracycline	1	1
ERR3623475	Lan2020	azithromycin	0.5	0.5
ERR3623475	Lan2020	cefixime	0.064	0.064
ERR3623475	Lan2020	ceftriaxone	0.094	0.094
ERR3623475	Lan2020	ciprofloxacin	24	24
ERR3623475	Lan2020	penicillin	1.5	1.5
ERR3623475	Lan2020	spectinomycin	8	8
ERR3623475	Lan2020	tetracycline	128	128
ERR3623474	Lan2020	azithromycin	0.5	0.5
ERR3623474	Lan2020	cefixime	0.047	0.047
ERR3623474	Lan2020	ceftriaxone	0.125	0.125
ERR3623474	Lan2020	ciprofloxacin	>32	32
ERR3623474	Lan2020	penicillin	1.5	1.5
ERR3623474	Lan2020	spectinomycin	8	8
ERR3623474	Lan2020	tetracycline	3	3
ERR3623473	Lan2020	azithromycin	0.094	0.094
ERR3623473	Lan2020	cefixime	<0.016	0.016
ERR3623473	Lan2020	ceftriaxone	0.006	0.006
ERR3623473	Lan2020	ciprofloxacin	3	3
ERR3623473	Lan2020	penicillin	>32	32
ERR3623473	Lan2020	spectinomycin	12	12
ERR3623473	Lan2020	tetracycline	0.75	0.75
ERR3623472	Lan2020	azithromycin	0.5	0.5
ERR3623472	Lan2020	cefixime	0.032	0.032
ERR3623472	Lan2020	ceftriaxone	0.047	0.047
ERR3623472	Lan2020	ciprofloxacin	>32	32
ERR3623472	Lan2020	penicillin	>32	32
ERR3623472	Lan2020	spectinomycin	12	12
ERR3623472	Lan2020	tetracycline	3	3
ERR3623471	Lan2020	azithromycin	0.023	0.023
ERR3623471	Lan2020	cefixime	0.064	0.064
ERR3623471	Lan2020	ceftriaxone	0.012	0.012
ERR3623471	Lan2020	ciprofloxacin	1.5	1.5
ERR3623471	Lan2020	penicillin	24	24
ERR3623471	Lan2020	spectinomycin	16	16
ERR3623471	Lan2020	tetracycline	0.75	0.75
ERR3623470	Lan2020	azithromycin	0.5	0.5
ERR3623470	Lan2020	cefixime	0.023	0.023
ERR3623470	Lan2020	ceftriaxone	0.023	0.023
ERR3623470	Lan2020	ciprofloxacin	>32	32
ERR3623470	Lan2020	penicillin	12	12
ERR3623470	Lan2020	spectinomycin	12	12
ERR3623470	Lan2020	tetracycline	3	3
ERR3623469	Lan2020	azithromycin	0.38	0.38
ERR3623469	Lan2020	cefixime	0.047	0.047
ERR3623469	Lan2020	ceftriaxone	0.064	0.064
ERR3623469	Lan2020	ciprofloxacin	>32	32
ERR3623469	Lan2020	penicillin	1	1
ERR3623469	Lan2020	spectinomycin	8	8
ERR3623469	Lan2020	tetracycline	2	2
ERR3623468	Lan2020	azithromycin	0.023	0.023
ERR3623468	Lan2020	cefixime	0.064	0.064
ERR3623468	Lan2020	ceftriaxone	0.012	0.012
ERR3623468	Lan2020	ciprofloxacin	2	2
ERR3623468	Lan2020	penicillin	24	24
ERR3623468	Lan2020	spectinomycin	16	16
ERR3623468	Lan2020	tetracycline	0.75	0.75
ERR3623467	Lan2020	azithromycin	0.19	0.19
ERR3623467	Lan2020	cefixime	0.047	0.047
ERR3623467	Lan2020	ceftriaxone	0.047	0.047
ERR3623467	Lan2020	ciprofloxacin	12	12
ERR3623467	Lan2020	penicillin	0.75	0.75
ERR3623467	Lan2020	spectinomycin	12	12
ERR3623467	Lan2020	tetracycline	2	2
ERR3623466	Lan2020	azithromycin	0.25	0.25
ERR3623466	Lan2020	cefixime	<0.016	0.016
ERR3623466	Lan2020	ceftriaxone	0.016	0.016
ERR3623466	Lan2020	ciprofloxacin	16	16
ERR3623466	Lan2020	penicillin	16	16
ERR3623466	Lan2020	spectinomycin	12	12
ERR3623466	Lan2020	tetracycline	128	128
ERR3623465	Lan2020	azithromycin	0.19	0.19
ERR3623465	Lan2020	cefixime	<0.016	0.016
ERR3623465	Lan2020	ceftriaxone	0.016	0.016
ERR3623465	Lan2020	ciprofloxacin	4	4
ERR3623465	Lan2020	penicillin	4	4
ERR3623465	Lan2020	spectinomycin	8	8
ERR3623465	Lan2020	tetracycline	48	48
ERR3623464	Lan2020	azithromycin	0.25	0.25
ERR3623464	Lan2020	cefixime	0.023	0.023
ERR3623464	Lan2020	ceftriaxone	0.023	0.023
ERR3623464	Lan2020	ciprofloxacin	12	12
ERR3623464	Lan2020	penicillin	8	8
ERR3623464	Lan2020	spectinomycin	12	12
ERR3623464	Lan2020	tetracycline	128	128
ERR3623463	Lan2020	azithromycin	0.5	0.5
ERR3623463	Lan2020	cefixime	0.047	0.047
ERR3623463	Lan2020	ceftriaxone	0.047	0.047
ERR3623463	Lan2020	ciprofloxacin	>32	32
ERR3623463	Lan2020	penicillin	1	1
ERR3623463	Lan2020	spectinomycin	16	16
ERR3623463	Lan2020	tetracycline	3	3
ERR3623462	Lan2020	azithromycin	0.19	0.19
ERR3623462	Lan2020	cefixime	0.047	0.047
ERR3623462	Lan2020	ceftriaxone	0.032	0.032
ERR3623462	Lan2020	ciprofloxacin	6	6
ERR3623462	Lan2020	penicillin	0.25	0.25
ERR3623462	Lan2020	spectinomycin	8	8
ERR3623462	Lan2020	tetracycline	192	192
ERR3623460	Lan2020	azithromycin	0.064	0.064
ERR3623460	Lan2020	cefixime	0.064	0.064
ERR3623460	Lan2020	ceftriaxone	0.016	0.016
ERR3623460	Lan2020	ciprofloxacin	2	2
ERR3623460	Lan2020	penicillin	0.19	0.19
ERR3623460	Lan2020	spectinomycin	12	12
ERR3623460	Lan2020	tetracycline	1	1
ERR3623459	Lan2020	azithromycin	0.25	0.25
ERR3623459	Lan2020	cefixime	0.047	0.047
ERR3623459	Lan2020	ceftriaxone	0.047	0.047
ERR3623459	Lan2020	ciprofloxacin	8	8
ERR3623459	Lan2020	penicillin	0.75	0.75
ERR3623459	Lan2020	spectinomycin	12	12
ERR3623459	Lan2020	tetracycline	2	2
ERR3623458	Lan2020	azithromycin	0.19	0.19
ERR3623458	Lan2020	cefixime	0.25	0.25
ERR3623458	Lan2020	ceftriaxone	0.064	0.064
ERR3623458	Lan2020	ciprofloxacin	>32	32
ERR3623458	Lan2020	penicillin	2	2
ERR3623458	Lan2020	spectinomycin	16	16
ERR3623458	Lan2020	tetracycline	2	2
ERR3623457	Lan2020	azithromycin	1.5	1.5
ERR3623457	Lan2020	cefixime	0.032	0.032
ERR3623457	Lan2020	ceftriaxone	0.016	0.016
ERR3623457	Lan2020	ciprofloxacin	4	4
ERR3623457	Lan2020	penicillin	>32	32
ERR3623457	Lan2020	spectinomycin	8	8
ERR3623457	Lan2020	tetracycline	1	1
ERR3623456	Lan2020	azithromycin	1	1
ERR3623456	Lan2020	cefixime	0.047	0.047
ERR3623456	Lan2020	ceftriaxone	0.047	0.047
ERR3623456	Lan2020	ciprofloxacin	>32	32
ERR3623456	Lan2020	penicillin	>32	32
ERR3623456	Lan2020	spectinomycin	16	16
ERR3623456	Lan2020	tetracycline	3	3
ERR3623455	Lan2020	azithromycin	0.19	0.19
ERR3623455	Lan2020	cefixime	0.25	0.25
ERR3623455	Lan2020	ceftriaxone	0.032	0.032
ERR3623455	Lan2020	ciprofloxacin	32	32
ERR3623455	Lan2020	penicillin	1	1
ERR3623455	Lan2020	spectinomycin	12	12
ERR3623455	Lan2020	tetracycline	1	1
ERR3623454	Lan2020	azithromycin	0.19	0.19
ERR3623454	Lan2020	cefixime	0.016	0.016
ERR3623454	Lan2020	ceftriaxone	0.032	0.032
ERR3623454	Lan2020	ciprofloxacin	32	32
ERR3623454	Lan2020	penicillin	1	1
ERR3623454	Lan2020	spectinomycin	12	12
ERR3623454	Lan2020	tetracycline	1	1
ERR3623453	Lan2020	azithromycin	0.38	0.38
ERR3623453	Lan2020	cefixime	0.032	0.032
ERR3623453	Lan2020	ceftriaxone	0.023	0.023
ERR3623453	Lan2020	ciprofloxacin	0.75	0.75
ERR3623453	Lan2020	penicillin	0.5	0.5
ERR3623453	Lan2020	spectinomycin	16	16
ERR3623453	Lan2020	tetracycline	1	1
ERR3623452	Lan2020	azithromycin	0.5	0.5
ERR3623452	Lan2020	cefixime	0.064	0.064
ERR3623452	Lan2020	ceftriaxone	0.064	0.064
ERR3623452	Lan2020	ciprofloxacin	16	16
ERR3623452	Lan2020	penicillin	1	1
ERR3623452	Lan2020	spectinomycin	16	16
ERR3623452	Lan2020	tetracycline	3	3
ERR3623451	Lan2020	azithromycin	0.38	0.38
ERR3623451	Lan2020	cefixime	0.064	0.064
ERR3623451	Lan2020	ceftriaxone	0.064	0.064
ERR3623451	Lan2020	ciprofloxacin	>32	32
ERR3623451	Lan2020	penicillin	>32	32
ERR3623451	Lan2020	spectinomycin	12	12
ERR3623451	Lan2020	tetracycline	256	256
ERR3623450	Lan2020	azithromycin	0.19	0.19
ERR3623450	Lan2020	cefixime	0.25	0.25
ERR3623450	Lan2020	ceftriaxone	0.064	0.064
ERR3623450	Lan2020	ciprofloxacin	>32	32
ERR3623450	Lan2020	penicillin	2	2
ERR3623450	Lan2020	spectinomycin	16	16
ERR3623450	Lan2020	tetracycline	1.5	1.5
ERR3623449	Lan2020	azithromycin	0.5	0.5
ERR3623449	Lan2020	cefixime	0.032	0.032
ERR3623449	Lan2020	ceftriaxone	0.032	0.032
ERR3623449	Lan2020	ciprofloxacin	3	3
ERR3623449	Lan2020	penicillin	0.38	0.38
ERR3623449	Lan2020	spectinomycin	16	16
ERR3623449	Lan2020	tetracycline	2	2
ERR3623448	Lan2020	azithromycin	0.38	0.38
ERR3623448	Lan2020	cefixime	0.094	0.094
ERR3623448	Lan2020	ceftriaxone	0.094	0.094
ERR3623448	Lan2020	ciprofloxacin	>32	32
ERR3623448	Lan2020	penicillin	>32	32
ERR3623448	Lan2020	spectinomycin	16	16
ERR3623448	Lan2020	tetracycline	>256	256
ERR3623447	Lan2020	azithromycin	0.75	0.75
ERR3623447	Lan2020	cefixime	0.032	0.032
ERR3623447	Lan2020	ceftriaxone	0.047	0.047
ERR3623447	Lan2020	ciprofloxacin	>32	32
ERR3623447	Lan2020	penicillin	4	4
ERR3623447	Lan2020	spectinomycin	12	12
ERR3623447	Lan2020	tetracycline	2	2
ERR3623446	Lan2020	azithromycin	0.38	0.38
ERR3623446	Lan2020	cefixime	0.094	0.094
ERR3623446	Lan2020	ceftriaxone	0.094	0.094
ERR3623446	Lan2020	ciprofloxacin	>32	32
ERR3623446	Lan2020	penicillin	1	1
ERR3623446	Lan2020	spectinomycin	16	16
ERR3623446	Lan2020	tetracycline	3	3
ERR3623445	Lan2020	azithromycin	1.5	1.5
ERR3623445	Lan2020	cefixime	0.023	0.023
ERR3623445	Lan2020	ceftriaxone	0.047	0.047
ERR3623445	Lan2020	ciprofloxacin	>32	32
ERR3623445	Lan2020	penicillin	4	4
ERR3623445	Lan2020	spectinomycin	16	16
ERR3623445	Lan2020	tetracycline	4	4
ERR3623444	Lan2020	azithromycin	0.75	0.75
ERR3623444	Lan2020	cefixime	0.047	0.047
ERR3623444	Lan2020	ceftriaxone	0.047	0.047
ERR3623444	Lan2020	ciprofloxacin	>32	32
ERR3623444	Lan2020	penicillin	1.5	1.5
ERR3623444	Lan2020	spectinomycin	16	16
ERR3623444	Lan2020	tetracycline	3	3
ERR3623443	Lan2020	azithromycin	0.38	0.38
ERR3623443	Lan2020	cefixime	<0.016	0.016
ERR3623443	Lan2020	ceftriaxone	0.012	0.012
ERR3623443	Lan2020	ciprofloxacin	32	32
ERR3623443	Lan2020	penicillin	8	8
ERR3623443	Lan2020	spectinomycin	16	16
ERR3623443	Lan2020	tetracycline	128	128
ERR3623442	Lan2020	azithromycin	0.19	0.19
ERR3623442	Lan2020	cefixime	0.19	0.19
ERR3623442	Lan2020	ceftriaxone	0.047	0.047
ERR3623442	Lan2020	ciprofloxacin	32	32
ERR3623442	Lan2020	penicillin	1.5	1.5
ERR3623442	Lan2020	spectinomycin	16	16
ERR3623442	Lan2020	tetracycline	1.5	1.5
ERR3623441	Lan2020	azithromycin	0.25	0.25
ERR3623441	Lan2020	cefixime	<0.016	0.016
ERR3623441	Lan2020	ceftriaxone	0.012	0.012
ERR3623441	Lan2020	ciprofloxacin	>32	32
ERR3623441	Lan2020	penicillin	0.75	0.75
ERR3623441	Lan2020	spectinomycin	8	8
ERR3623441	Lan2020	tetracycline	128	128
ERR3623440	Lan2020	azithromycin	0.75	0.75
ERR3623440	Lan2020	cefixime	0.047	0.047
ERR3623440	Lan2020	ceftriaxone	0.064	0.064
ERR3623440	Lan2020	ciprofloxacin	>32	32
ERR3623440	Lan2020	penicillin	1	1
ERR3623440	Lan2020	spectinomycin	16	16
ERR3623440	Lan2020	tetracycline	4	4
ERR3623439	Lan2020	azithromycin	0.19	0.19
ERR3623439	Lan2020	cefixime	0.19	0.19
ERR3623439	Lan2020	ceftriaxone	0.047	0.047
ERR3623439	Lan2020	ciprofloxacin	24	24
ERR3623439	Lan2020	penicillin	1.5	1.5
ERR3623439	Lan2020	spectinomycin	16	16
ERR3623439	Lan2020	tetracycline	1.5	1.5
ERR3623438	Lan2020	azithromycin	0.5	0.5
ERR3623438	Lan2020	cefixime	0.047	0.047
ERR3623438	Lan2020	ceftriaxone	0.064	0.064
ERR3623438	Lan2020	ciprofloxacin	24	24
ERR3623438	Lan2020	penicillin	>32	32
ERR3623438	Lan2020	spectinomycin	12	12
ERR3623438	Lan2020	tetracycline	64	64
ERR3623437	Lan2020	azithromycin	0.5	0.5
ERR3623437	Lan2020	cefixime	0.047	0.047
ERR3623437	Lan2020	ceftriaxone	0.064	0.064
ERR3623437	Lan2020	ciprofloxacin	>32	32
ERR3623437	Lan2020	penicillin	0.75	0.75
ERR3623437	Lan2020	spectinomycin	24	24
ERR3623437	Lan2020	tetracycline	192	192
ERR3623436	Lan2020	azithromycin	0.5	0.5
ERR3623436	Lan2020	cefixime	0.047	0.047
ERR3623436	Lan2020	ceftriaxone	0.064	0.064
ERR3623436	Lan2020	ciprofloxacin	>32	32
ERR3623436	Lan2020	penicillin	0.75	0.75
ERR3623436	Lan2020	spectinomycin	12	12
ERR3623436	Lan2020	tetracycline	192	192
ERR3623435	Lan2020	azithromycin	0.38	0.38
ERR3623435	Lan2020	cefixime	0.047	0.047
ERR3623435	Lan2020	ceftriaxone	0.047	0.047
ERR3623435	Lan2020	ciprofloxacin	>32	32
ERR3623435	Lan2020	penicillin	0.75	0.75
ERR3623435	Lan2020	spectinomycin	12	12
ERR3623435	Lan2020	tetracycline	>256	256
ERR3623434	Lan2020	azithromycin	0.75	0.75
ERR3623434	Lan2020	cefixime	0.023	0.023
ERR3623434	Lan2020	ceftriaxone	0.016	0.016
ERR3623434	Lan2020	ciprofloxacin	4	4
ERR3623434	Lan2020	penicillin	>32	32
ERR3623434	Lan2020	spectinomycin	12	12
ERR3623434	Lan2020	tetracycline	1.5	1.5
ERR3623433	Lan2020	azithromycin	0.38	0.38
ERR3623433	Lan2020	cefixime	0.064	0.064
ERR3623433	Lan2020	ceftriaxone	0.064	0.064
ERR3623433	Lan2020	ciprofloxacin	>32	32
ERR3623433	Lan2020	penicillin	0.5	0.5
ERR3623433	Lan2020	spectinomycin	12	12
ERR3623433	Lan2020	tetracycline	>256	256
ERR3623432	Lan2020	azithromycin	0.25	0.25
ERR3623432	Lan2020	cefixime	0.25	0.25
